instance,is_infeasible,primal,dual,error
low_10x10_10x0,No,0,0,OK
low_10x10_10x1,No,0,0,OK
low_10x10_10x2,No,22,22,OK
low_10x10_10x3,No,0,0,OK
low_10x10_10x4,No,inf,0,OK
low_10x10_10x5,No,0,0,OK
low_10x10_10x6,No,0,0,OK
low_10x10_10x7,No,5,5,OK
low_10x10_10x8,No,0,0,OK
low_10x10_10x9,No,0,0,OK
low_10x10_10x10,No,inf,50,OK
low_10x10_10x11,No,0,0,OK
low_10x10_10x12,No,0,0,OK
