instance,is_infeasible,primal,dual,error
high_20x20x22,No,inf,-inf,OK
high_20x20x23,No,inf,-inf,OK
high_20x20x24,No,inf,-inf,OK
high_20x20x25,No,inf,-inf,OK
high_20x20x26,No,inf,-inf,OK
high_20x20x27,No,inf,-inf,OK
high_20x20x28,No,inf,-inf,OK
high_20x20x29,No,inf,-inf,OK
high_20x20x30,No,inf,-inf,OK
high_20x20x31,No,inf,-inf,OK
high_20x20x32,No,inf,-inf,OK
high_20x20x33,No,inf,-inf,OK
high_20x20x34,No,inf,-inf,OK
high_20x20x35,No,inf,-inf,OK
high_20x20x36,No,inf,-inf,OK
high_20x20x37,No,inf,-inf,OK
high_20x20x38,No,inf,-inf,OK
high_20x20x39,No,inf,-inf,OK
high_20x20x40,No,inf,-inf,OK
high_20x20x41,No,inf,-inf,OK
high_20x20x42,No,inf,-inf,OK
high_20x20x43,No,inf,-inf,OK
high_20x20x44,No,inf,-inf,OK
high_20x20x45,No,inf,-inf,OK
high_20x20x46,No,inf,-inf,OK
high_20x20x47,No,inf,-inf,OK
high_20x20x48,No,inf,-inf,OK
high_20x20x49,No,inf,-inf,OK
