N | OPT | Gap(%) | Nodes | Obj | Dual | N Cols | Time(s)
------------------------------------------------
0 | 1 | 0.00 | 1 | 0.00 | -0.00 | 60 | 24 | 5.37
1 | 1 | 0.00 | 1 | 0.00 | -0.00 | 192 | 38 | 23.75
2 | 1 | 0.00 | 5 | 22.00 | 22.00 | 136 | 56 | 15.08
3 | 1 | 0.00 | 1 | 0.00 | -0.00 | 53 | 14 | 0.92
4 | 1 | 0.00 | 1 | 0.00 | -0.00 | 100 | 16 | 4.92
5 | 1 | 0.00 | 1 | 0.00 | -0.00 | 59 | 14 | 1.56
6 | 1 | 0.00 | 1 | 0.00 | -0.00 | 132 | 30 | 8.90
7 | 1 | 0.00 | 9 | 5.00 | 5.00 | 177 | 70 | 11.34
8 | 1 | 0.00 | 4 | 0.00 | -0.00 | 63 | 24 | 1.37
9 | 1 | 0.00 | 1 | 0.00 | -0.00 | 63 | 20 | 1.90
